;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Finland;61.318;62.952;74.82;85.054;93.138;104.92;117.218;128.914;150.93;175.526;229.964;316.996;371.262;431.892;441.696;475.408;556.764;585.316;634.852;666.758;692.816;724.894;772.624;812.356;894.916;1047.738;1077.15;1185.768;1146.122;1160.57;1255.514;1345.04;1363.702;1402.918;1460.538;1398.102;1482.21;1498.292;1560.212;1586.7;1560.126;1666.25;1715.012;1754.83;1751.304;1769.708;1818.04;1848.226;1820.534
Norway;699.438;726.872;819.408;889.412;942.646;1014.886;1099.51;1124.106;1250.01;1232.294;1286.818;1263.168;1319.068;1372.302;1435.684;1517.642;1627.808;1752.336;1800.926;1921.67;1936.978;2053.078;2156.88;2216.564;2426.834;2486.346;2573.378;2598.318;2519.284;2482.304;2605.714;2804.804;2807.9;2819.682;2925.29;2977.922;3034.768;2922.108;3014.128;3013.956;2979.126;3085.336;2979.642;2753.978;2786.83;2924.516;2893.556;3005.528;2968.032
