;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Finland;8.0;8.8;10.3;12.5;15.8;18.1;20.4;22.5;24.9;29.0;33.5;38.0;42.6;47.6;53.3;58.0;61.8;67.2;76.3;85.0;90.0;85.9;83.9;84.9;89.9;97.5;100.9;109.5;119.0;122.7;132.2;139.8;143.8;145.8;152.2;157.1;167.0;179.7;184.7
Norway;9.9;11.1;12.2;13.9;16.1;18.5;21.2;23.8;26.5;29.6;35.4;40.7;45.0;49.9;56.2;56.2;63.8;69.7;73.1;77.9;82.6;87.5;89.8;94.3;99.2;106.5;116.7;126.3;128.6;140.1;166.9;173.4;172.9;177.7;258.6;302.0;336.1;386.6;
