;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
Finland;7.77;8.17;8.50;8.90;9.55;10.03;10.52;11.33;12.62;13.19;13.68;14.73;15.94;18.21;22.34;25.25;28.73;31.56;34.23;37.23;40.87;45.4;49.4;53.6;58.2;61.2;63.9;66.5;72.10;76.60;81.50;83.10;84.30;86.40;88.00;92.20;91.90;93.80;97.10;96.90;100.00;103.00;103.90;103.80;103.90;104.74;106.10;107.79;107.79
Norway;10.96;11.24;11.74;12.17;12.75;13.32;13.89;14.25;14.90;15.54;17.54;18.69;19.62;21.41;23.63;25.99;27.93;30.29;32.22;34.37;39.39;44.9;49.4;52.9;56.1;58.7;58;62.2;65.20;68.70;71.30;72.90;72.40;74.10;74.00;76.20;79.30;81.50;80.90;86.30;100.00;101.10;99.50;101.80;102.31;103.84;106.23;106.98;110.61
